Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,overall_Income
Male,Yes,1,Graduate,No,128.0,360,Yes,Rural,N,6091
Male,Yes,0,Graduate,Yes,66.0,360,Yes,Urban,Y,3000
Male,Yes,0,Not Graduate,No,120.0,360,Yes,Urban,Y,4941
Male,No,0,Graduate,No,141.0,360,Yes,Urban,Y,6000
Male,Yes,2,Graduate,Yes,267.0,360,Yes,Urban,Y,9613
Male,Yes,0,Not Graduate,No,95.0,360,Yes,Urban,Y,3849
Male,Yes,3,Graduate,No,158.0,360,No,Semiurban,N,5540
Male,Yes,2,Graduate,No,168.0,360,Yes,Urban,Y,5532
Male,Yes,1,Graduate,No,349.0,360,Yes,Semiurban,N,23809
Male,Yes,2,Graduate,No,70.0,360,Yes,Urban,Y,3900
Male,Yes,2,Graduate,No,109.0,360,Yes,Urban,Y,4340
Male,Yes,2,Graduate,No,200.0,360,Yes,Urban,Y,11179
Male,No,0,Graduate,No,114.0,360,Yes,Rural,N,4693
Male,Yes,2,Graduate,No,17.0,120,Yes,Urban,Y,2385
Male,No,0,Graduate,No,125.0,360,Yes,Urban,Y,4950
Female,No,0,Graduate,No,76.0,360,No,Urban,N,3510
Male,Yes,0,Not Graduate,No,133.0,360,Yes,Rural,N,4887
Male,Yes,0,Not Graduate,No,104.0,360,No,Urban,N,7660
Male,Yes,1,Graduate,No,315.0,360,Yes,Urban,Y,11580
Male,Yes,0,Not Graduate,No,116.0,360,No,Semiurban,N,4511
Male,Yes,2,Not Graduate,No,112.0,360,No,Rural,N,5282
Male,Yes,0,Graduate,Yes,191.0,360,Yes,Semiurban,Y,9560
Male,Yes,0,Graduate,No,122.0,360,Yes,Semiurban,Y,5052
Male,Yes,2,Not Graduate,No,110.0,360,Yes,Urban,Y,5266
Male,No,0,Not Graduate,No,35.0,360,Yes,Urban,N,1442
Female,No,2,Graduate,No,120.0,360,Yes,Semiurban,Y,5833
Male,No,0,Graduate,No,74.0,360,Yes,Urban,N,3167
Male,No,1,Graduate,Yes,106.0,360,Yes,Rural,N,4692
Male,Yes,0,Graduate,No,114.0,360,Yes,Semiurban,Y,5167
Male,No,3,Graduate,No,320.0,360,Yes,Rural,N,15500
Female,Yes,0,Graduate,No,144.0,360,Yes,Semiurban,Y,5126
Male,No,0,Graduate,No,184.0,360,Yes,Urban,Y,11376
Male,No,0,Not Graduate,No,110.0,360,Yes,Semiurban,Y,5416
Male,No,0,Graduate,No,80.0,360,Yes,Urban,N,3600
Male,No,0,Graduate,No,47.0,360,Yes,Urban,Y,3013
Male,Yes,0,Graduate,No,134.0,360,Yes,Semiurban,Y,6277
Male,Yes,1,Graduate,No,44.0,360,Yes,Urban,Y,5649
Male,Yes,0,Graduate,No,144.0,360,Yes,Urban,Y,5821
Female,Yes,0,Graduate,No,120.0,360,No,Urban,N,6085
Female,No,0,Graduate,No,144.0,360,Yes,Semiurban,Y,6275
Female,Yes,0,Not Graduate,No,100.0,360,Yes,Semiurban,Y,3572
Female,No,0,Graduate,No,120.0,360,Yes,Semiurban,Y,3086
Female,No,0,Graduate,No,112.0,360,Yes,Semiurban,N,4230
Male,Yes,2,Graduate,No,134.0,360,Yes,Urban,N,4616
Female,Yes,1,Graduate,Yes,286.0,360,No,Urban,N,11500
Male,Yes,2,Graduate,No,97.0,360,Yes,Semiurban,Y,3875
Male,Yes,0,Graduate,No,96.0,360,Yes,Semiurban,Y,3723
Male,Yes,0,Graduate,No,135.0,360,Yes,Rural,N,5566
Male,Yes,1,Graduate,No,180.0,360,Yes,Urban,Y,10330
Male,Yes,2,Not Graduate,No,144.0,360,Yes,Urban,Y,6216
Male,Yes,0,Graduate,No,120.0,360,Yes,Urban,Y,6296
Male,Yes,3,Graduate,No,99.0,360,Yes,Urban,Y,3029
Male,Yes,0,Not Graduate,Yes,165.0,180,No,Rural,N,6058
Female,No,0,Graduate,No,116.0,360,No,Semiurban,N,4166
Male,Yes,0,Graduate,No,258.0,360,Yes,Semiurban,N,10321
Male,No,0,Not Graduate,No,126.0,180,No,Urban,N,5454
Male,Yes,1,Graduate,No,312.0,360,Yes,Urban,Y,10750
Male,Yes,3,Not Graduate,Yes,125.0,60,Yes,Urban,Y,7100
Female,No,0,Graduate,No,136.0,360,No,Semiurban,N,4300
Male,Yes,0,Graduate,No,172.0,360,Yes,Urban,Y,6274
Male,Yes,2,Not Graduate,Yes,97.0,360,Yes,Semiurban,Y,3750
Male,No,0,Graduate,No,81.0,300,Yes,Semiurban,Y,3500
Male,Yes,3,Graduate,Yes,187.0,360,Yes,Semiurban,Y,7040
Male,No,0,Graduate,No,113.0,480,Yes,Urban,N,3750
Male,No,0,Graduate,No,176.0,360,Yes,Urban,N,8500
Male,Yes,1,Graduate,Yes,110.0,360,Yes,Urban,N,4022
Male,Yes,3,Graduate,No,180.0,300,No,Semiurban,N,7167
Female,No,0,Graduate,No,111.0,360,Yes,Semiurban,Y,3846
Female,Yes,2,Graduate,No,167.0,360,Yes,Urban,N,3259
Male,Yes,1,Graduate,No,50.0,240,Yes,Urban,Y,3988
Male,No,0,Graduate,No,136.0,360,Yes,Semiurban,Y,4897
Male,Yes,0,Graduate,No,104.0,360,Yes,Semiurban,Y,4618
Male,No,0,Graduate,No,210.0,360,Yes,Urban,Y,8566
Male,Yes,0,Graduate,No,175.0,360,Yes,Semiurban,Y,9862
Male,Yes,0,Graduate,No,131.0,360,Yes,Semiurban,Y,5858
Male,Yes,2,Graduate,No,188.0,180,Yes,Semiurban,Y,11904
Male,Yes,2,Not Graduate,No,81.0,360,Yes,Urban,Y,5093
Male,No,0,Graduate,No,122.0,360,Yes,Semiurban,Y,4133
Male,No,0,Not Graduate,No,25.0,120,Yes,Semiurban,Y,3620
Female,Yes,0,Graduate,No,137.0,360,Yes,Semiurban,Y,4786
Male,Yes,0,Graduate,No,50.0,360,Yes,Semiurban,Y,2974
Male,Yes,0,Not Graduate,No,115.0,180,Yes,Semiurban,Y,4188
Male,Yes,0,Graduate,No,131.0,360,Yes,Semiurban,Y,5300
Male,Yes,2,Not Graduate,No,133.0,180,Yes,Urban,Y,7551
Male,No,0,Graduate,No,151.0,360,Yes,Semiurban,Y,8649
Male,Yes,1,Graduate,No,100.0,360,Yes,Urban,Y,4082
Male,Yes,2,Graduate,No,225.0,360,Yes,Urban,Y,12543
